,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
지리산,35277568,2838834,1929998,2287680,2784040,3369935,,,,,,,
경주,2669076,108125,97949,219285,244447,289601,,,,,,,
계룡산,1836948,218612,125539,90889,108938,169057,,,,,,,
한려해상,3700609,433637,287066,164797,185321,377067,,,,,,,
오동도,1697282,238884,160198,79565,78046,151715,,,,,,,
설악산,1947361,140409,98988,83058,85716,152275,,,,,,,
속리산,986092,45297,37083,59561,67846,87393,,,,,,,
한라산,,,,,,,,,,,,,
내장산,,,,,,,,,,,,,
가야산,,,,,,,,,,,,,
덕유산,,,,,,,,,,,,,
오대산,,,,,,,,,,,,,
주왕산,,,,,,,,,,,,,
태안해안,,,,,,,,,,,,,
다도해해상,,,,,,,,,,,,,
치악산,,,,,,,,,,,,,
월악산,,,,,,,,,,,,,
북한산,,,,,,,,,,,,,
소백산,,,,,,,,,,,,,
월출산,,,,,,,,,,,,,
변산반도,,,,,,,,,,,,,
무등산,,,,,,,,,,,,,
태백산,,,,,,,,,,,,,
